year,noc_code,Occupation,nova_scotia_wage,canada_wage,market_gap_pct
2022,312,Therapy and assessment professionals,40.4,42.0,-3.81
2022,313,Nursing and allied health professionals,40.87,42.0,-2.69
2022,411,Professional occupations in law,51.68,57.95,-10.82
2022,412,Professional occupations in education services,38.46,43.27,-11.12
2022,413,Professional occupations in social and community services,30.0,33.85,-11.37
2022,414,Professional occupations in government services,38.46,40.0,-3.85
2022,421,Occupations in front-line public protection services,44.58,48.56,-8.2
2022,422,"Paraprofessional occupations in legal, social, community and education services",20.63,24.0,-14.04
2023,111,Professional occupations in finance,35.0,39.49,-11.37
2023,112,Professional occupations in business,36.18,38.46,-5.93
2023,211,Professional occupations in natural sciences,41.54,42.19,-1.54
2023,212,Professional occupations in applied sciences (except engineering),42.7,46.15,-7.48
2023,213,Professional occupations in engineering,41.03,48.7,-15.75
2023,311,Health treating and consultation services professionals,43.43,47.25,-8.08
2023,312,Therapy and assessment professionals,41.0,44.9,-8.69
2023,313,Nursing and allied health professionals,40.0,42.0,-4.76
2023,411,Professional occupations in law,45.19,57.69,-21.67
2023,412,Professional occupations in education services,39.42,43.71,-9.81
2023,413,Professional occupations in social and community services,31.79,36.0,-11.69
2023,414,Professional occupations in government services,42.34,42.79,-1.05
2023,421,Occupations in front-line public protection services,44.47,48.74,-8.76
2023,422,"Paraprofessional occupations in legal, social, community and education services",23.0,25.0,-8.0
2024,111,Professional occupations in finance,33.65,40.87,-17.67
2024,112,Professional occupations in business,36.06,39.9,-9.62
2024,211,Professional occupations in natural sciences,41.03,42.86,-4.27
2024,212,Professional occupations in applied sciences (except engineering),43.0,48.08,-10.57
2024,213,Professional occupations in engineering,47.5,50.0,-5.0
2024,311,Health treating and consultation services professionals,50.0,50.0,0.0
2024,312,Therapy and assessment professionals,40.18,47.5,-15.41
2024,313,Nursing and allied health professionals,45.0,45.0,0.0
2024,411,Professional occupations in law,67.31,63.33,6.28
2024,412,Professional occupations in education services,42.67,45.67,-6.57
2024,413,Professional occupations in social and community services,34.87,37.91,-8.02
2024,414,Professional occupations in government services,42.86,43.69,-1.9
2024,421,Occupations in front-line public protection services,50.0,49.09,1.85
2024,422,"Paraprofessional occupations in legal, social, community and education services",25.24,26.0,-2.92
2025,111,Professional occupations in finance,36.2,43.0,-15.81
2025,112,Professional occupations in business,40.64,41.41,-1.86
2025,211,Professional occupations in natural sciences,40.85,44.87,-8.96
2025,212,Professional occupations in applied sciences (except engineering),46.04,50.48,-8.8
2025,213,Professional occupations in engineering,48.06,52.0,-7.58
2025,311,Health treating and consultation services professionals,52.5,51.0,2.94
2025,312,Therapy and assessment professionals,46.63,49.0,-4.84
2025,313,Nursing and allied health professionals,48.0,46.0,4.35
2025,411,Professional occupations in law,74.52,62.5,19.23
2025,412,Professional occupations in education services,43.27,47.84,-9.55
2025,413,Professional occupations in social and community services,36.06,40.0,-9.85
2025,414,Professional occupations in government services,43.94,46.15,-4.79
2025,421,Occupations in front-line public protection services,48.08,50.42,-4.64
2025,422,"Paraprofessional occupations in legal, social, community and education services",27.0,26.92,0.3
