year,industry,nova_scotia_wage,canada_wage,market_gap_pct
2020,"Finance, insurance, real estate, rental and leasing [52-53]",24.73,31.25,-20.86
2020,"Professional, scientific and technical services [54]",27.69,34.36,-19.41
2020,"Business, building and other support services [55-56]",16.35,20.0,-18.25
2020,Educational services [61],30.77,36.56,-15.84
2020,Health care and social assistance [62],24.04,26.0,-7.54
2020,"Information, culture and recreation [51, 71]",23.08,29.81,-22.58
2020,Accommodation and food services [72],14.0,16.25,-13.85
2020,Other services (except public administration) [81],21.63,24.04,-10.02
2020,Public administration [91],32.82,37.95,-13.52
2021,"Total employees, all industries",24.04,28.57,-15.86
2021,Goods-producing sector,24.0,28.85,-16.81
2021,"Agriculture [111-112, 1100, 1151-1152]",16.25,20.0,-18.75
2021,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",24.04,40.0,-39.9
2021,Utilities [22],38.97,45.0,-13.4
2021,Construction [23],24.0,30.0,-20.0
2021,Manufacturing [31-33],23.0,25.96,-11.4
2021,Services-producing sector,24.41,28.49,-14.32
2021,"Wholesale and retail trade [41, 44-45]",18.46,21.75,-15.13
2021,Transportation and warehousing [48-49],25.0,27.0,-7.41
2021,"Finance, insurance, real estate, rental and leasing [52-53]",25.64,33.33,-23.07
2021,"Professional, scientific and technical services [54]",30.74,34.62,-11.21
2021,"Business, building and other support services [55-56]",16.85,20.0,-15.75
2021,Educational services [61],33.65,36.67,-8.24
2021,Health care and social assistance [62],24.0,26.37,-8.99
2021,"Information, culture and recreation [51, 71]",23.13,30.77,-24.83
2021,Accommodation and food services [72],14.2,16.6,-14.46
2021,Other services (except public administration) [81],21.98,24.04,-8.57
2021,Public administration [91],36.0,38.46,-6.4
2022,"Total employees, all industries",25.0,29.75,-15.97
2022,Goods-producing sector,25.0,30.0,-16.67
2022,"Agriculture [111-112, 1100, 1151-1152]",16.4,20.0,-18.0
2022,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",27.0,40.0,-32.5
2022,Utilities [22],38.46,46.0,-16.39
2022,Construction [23],25.0,32.0,-21.88
2022,Manufacturing [31-33],24.0,27.0,-11.11
2022,Services-producing sector,25.0,29.3,-14.68
2022,"Wholesale and retail trade [41, 44-45]",19.0,23.0,-17.39
2022,Transportation and warehousing [48-49],25.0,28.0,-10.71
2022,"Finance, insurance, real estate, rental and leasing [52-53]",25.64,34.25,-25.14
2022,"Professional, scientific and technical services [54]",33.65,37.36,-9.93
2022,"Business, building and other support services [55-56]",18.75,21.75,-13.79
2022,Educational services [61],32.42,37.44,-13.41
